"highSchool","name","shoots","anio","mes","dia","Altura_CM","Altura_CM_DOS","PesoNuevo"
"West Catholic in Philadelphia, Pennsylvania","Ernie Beck","Right","1931","12","11",182.88,121.92,85.5
"Camelback in Phoenix, Arizona","Arthur Becker","Right","1942","01","12",182.88,213.36,92.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Moe Becker","Right","1917","02","24",182.88,30.48,83.25
"Bell Gardens in Bell Gardens, California","Bob Bedell","Right","1944","06","26",182.88,213.36,92.25
"Melrose in Memphis, Tennessee","William Bedford","Right","1963","12","14",213.36,0,101.25
"North Plainfield in North Plainfield, New Jersey","Hank Beenders","Right","1916","06","02",182.88,182.88,83.25
"DeWitt Clinton in Bronx, New York","Ron Behagen","Right","1951","01","14",182.88,274.32,83.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Elmer Behnke","Right","1929","02","03",182.88,213.36,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Marco Belinelli","Right","1986","03","25",182.88,152.4,94.5
"Flint Southwestern Academy in Flint, Michigan","Charlie Bell","Right","1979","03","12",182.88,91.44,90
"Wyoming in Cincinnati, Ohio","Dennis Bell","Right","1951","06","02",182.88,152.4,83.25
"Long Beach Poly in Long Beach, California","Jordan Bell","Right","1995","01","07",182.88,274.32,100.8
"Killian in Miami, Florida","Raja Bell","Right","1976","09","19",182.88,152.4,91.8
"Academy of Holy Angels in Richfield, Minnesota","Troy Bell","Right","1980","11","10",182.88,30.48,81
"Warsaw Community in Warsaw, Indiana","Whitey Bell","Right","1932","09","13",182.88,0,81
"J.T. Barber in New Bern, North Carolina","Walt Bellamy","Right","1939","07","24",182.88,335.28,101.25
"The Patrick School in Elizabeth, New Jersey","DeAndre' Bembry","Right","1994","07","04",182.88,182.88,94.5
"Marshall in Chicago, Illinois","Irv Bemoras","Right","1930","11","18",182.88,91.44,83.25
"Booker T. Washington in Columbia, South Carolina","Leon Benbow","Right","1950","07","23",182.88,121.92,83.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Dragan Bender","Right","1997","11","17",213.36,30.48,101.25
"Picayune Memorial in Picayune, Mississippi","Jonathan Bender","Right","1981","01","30",182.88,335.28,90.9
"Fauquier in Warrenton, Virginia","Jerrelle Benimon","Right","1991","08","01",182.88,243.84,110.25
"Carroll in Monroe, Louisiana","Benoit Benjamin","Right","1964","11","22",213.36,0,112.5
"Fontana in Fontana, California","Corey Benjamin","Right","1978","02","24",182.88,182.88,90
"Findlay College Prep in Henderson, Nevada","Anthony Bennett","Right","1993","03","14",182.88,243.84,110.25
"Bellaire in Bellaire, Texas","Elmer Bennett","Right","1970","02","13",182.88,0,76.5
"Denton in Denton, Texas","Mario Bennett","Right","1973","08","01",182.88,182.88,105.75
"Peabody in Pittsburgh, Pennsylvania","Mel Bennett","Right","1955","01","04",182.88,213.36,90
"Laurinburg Institute in Laurinburg, North Carolina","Spider Bennett","Right","1943","08","04",182.88,91.44,85.5
"Preble in Green Bay, Wisconsin","Tony Bennett","Right","1969","06","01",182.88,0,78.75
"Male in Louisville, Kentucky","Winston Bennett","Right","1965","02","09",182.88,213.36,94.5
"Lafayette in Lafayette, Louisiana","David Benoit","Right","1968","05","09",182.88,243.84,99
"Detroit Country Day School in Beverly Hills, Michigan","Keith Benson","Right","1988","08","13",182.88,335.28,108
"Chrysler in New Castle, Indiana","Kent Benson","Right","1954","12","27",182.88,304.8,105.75
"St. Andrew's School in Middletown, Delaware","Ben Bentil","Right","1995","03","29",182.88,274.32,105.75
"Marquette University High School in Milwaukee, Wisconsin","Gene Berce","Right","1926","11","22",152.4,335.28,78.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Gary Bergen","Right","1932","07","16",182.88,243.84,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Larry Bergh","Right","1945","04","02",182.88,243.84,94.5
"Live Oak in Morgan Hill, California","Ricky Berry","Right","1964","10","06",182.88,243.84,92.25
"Benjamin Franklin in New York, New York","Walter Berry","Left","1964","05","14",182.88,243.84,96.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Dairis Bertans","Right","1989","09","09",182.88,121.92,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Davis Bertans","Right","1992","11","12",182.88,304.8,101.25
"Red Land in New Cumberland, Pennsylvania","Del Beshore","Right","1956","11","29",152.4,335.28,74.25
"Springfield Central in Springfield, Massachusetts","Travis Best","Left","1972","07","12",152.4,335.28,81.9
"Marshall in Chicago, Illinois","Patrick Beverley","Right","1988","07","12",182.88,30.48,83.25
"Huntington Prep in Huntington, West Virginia","Sim Bhullar","Right","1992","12","02",213.36,152.4,162
"Franklin D Roosevelt in Hyde Park, New York","Wesley Bialosuknia","Right","1945","06","08",182.88,60.96,83.25
"Long Island City HS in Long Island City, New York","Al Bianchi","Right","1932","03","26",182.88,91.44,83.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Hank Biasatti","Left","1922","01","14",152.4,335.28,78.75
"Person-Albion in Franklinton, North Carolina","Henry Bibby","Right","1949","11","24",182.88,30.48,83.25
"Shadow Mountain in Phoenix, Arizona","Mike Bibby","Right","1978","05","13",182.88,30.48,85.5
"Edgewood in Edgewood, Pennsylvania","Ed Biedenbach","Right","1945","08","12",182.88,30.48,78.75
"Valters Basketball School in Riga, Latvia","Andris Biedrins","Left","1986","04","02",182.88,335.28,108
"Wilson in Saint Paul, Minnesota","Don Bielke","Right","1948","07","26",182.88,213.36,108
"Winchester in Winchester, Massachusetts","Bob Bigelow","Right","1953","12","26",182.88,213.36,96.75
"Our Savior Lutheran in Bronx, New York","Lionel Billingy","Right","1952","08","31",182.88,274.32,96.75
"George Washington in Denver, Colorado","Chauncey Billups","Right","1976","09","25",182.88,91.44,90.9
"Spingarn in Washington, District of Columbia","Dave Bing","Right","1943","11","24",182.88,91.44,81
"Madison in Rochester, New York","Joe Binion","Right","1961","03","26",182.88,243.84,105.75
"Notre Dame Prep in Fitchburg, Massachusetts","Khem Birch","Right","1992","09","28",182.88,274.32,104.85
"Salesian Prep in Richmond, California","Jabari Bird","Right","1994","07","03",182.88,182.88,89.1
"Corbin in Corbin, Kentucky","Jerry Bird","Right","1935","02","02",182.88,182.88,94.5
"Springs Valley in French Lick, Indiana","Larry Bird","Right","1956","12","07",182.88,274.32,99
"Winter Haven in Winter Haven, Florida","Otis Birdsong","Right","1955","12","09",182.88,91.44,85.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Gale Bishop","Right","1922","06","04",182.88,91.44,87.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Bismack Biyombo","Right","1992","08","28",182.88,274.32,114.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Nemanja Bjelica","Right","1988","05","09",182.88,304.8,105.3
"Effingham in Effingham, Illinois","Uwe Blab","Right","1962","03","26",213.36,30.48,113.4
"Highland Park in Topeka, Kansas","Charlie Black","Right","1921","06","15",182.88,152.4,90
"Cardinal Gibbons in Baltimore, Maryland","Norman Black","Right","1957","11","12",182.88,152.4,83.25
"Ridgeway in Memphis, Tennessee","Tarik Black","Right","1991","11","22",182.88,274.32,112.5
"West Salem in West Salem, Wisconsin","Tom Black","Right","1941","07","09",182.88,304.8,99
"William E. Grady Career and Technical in Brooklyn, New York","Rolando Blackman","Right","1959","02","26",182.88,182.88,85.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Alex Blackwell","Right","1970","06","27",182.88,182.88,112.5
"Crane Technical Preparatory in Chicago, Illinois","Cory Blackwell","Right","1963","03","27",182.88,182.88,94.5
"Deerfield in Deerfield, New York","James Blackwell","Right","1968","02","25",182.88,0,85.5
"South Philadelphia in Philadelphia, Pennsylvania","Nate Blackwell","Left","1965","02","15",182.88,121.92,76.5
"Schenley in Pittsburgh, Pennsylvania","DeJuan Blair","Right","1989","04","22",182.88,213.36,121.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Steve Blake","Right","1980","02","26",182.88,91.44,77.4
"Oak Ridge in Orlando, Florida","Antonio Blakeney","Right","1996","10","04",182.88,121.92,86.4
"Notre Dame Preparatory School in Fitchburg, Massachusetts","Will Blalock","Right","1983","09","08",182.88,0,92.25
"Saint Peter's Preparatory School in Jersey City, New Jersey","George Blaney","Right","1939","11","12",182.88,30.48,78.75
"McCullough in The Woodlands, Texas","Lance Blanks","Right","1966","09","09",182.88,121.92,85.5
"Killian in Miami, Florida","Ricky Blanton","Right","1966","04","21",182.88,213.36,96.75
"South Kent School in South Kent, Connecticut","Andray Blatche","Right","1986","08","22",182.88,335.28,105.75
"Garland in Garland, Texas","Mookie Blaylock","Right","1967","03","20",182.88,0,81
"A.H. Parker in Birmingham, Alabama","Eric Bledsoe","Right","1989","12","09",182.88,30.48,92.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Leon Blevins","Right","1926","06","25",182.88,60.96,72
"Glendale in Glendale, California","John Block","Right","1944","04","16",182.88,274.32,93.15
"Trenton in Trenton, New Jersey","Mike Bloom","Right","1915","01","14",182.88,182.88,85.5
"Chattahoochee in Johns Creek, Georgia","Jaron Blossomgame","Right","1993","09","16",182.88,213.36,99
"Monrovia in Monrovia, California","Corie Blount","Right","1969","01","04",182.88,274.32,108
"Oak Hill Academy in Mouth of Wilson, Virginia","Mark Blount","Right","1975","11","30",213.36,0,103.5
"Madison Memorial in Madison, Wisconsin","Vander Blue","Right","1992","07","17",182.88,121.92,90
"Parkrose in Portland, Oregon","Ray Blume","Right","1958","09","23",182.88,121.92,83.25
"West Philadelphia in Philadelphia, Pennsylvania","Nelson Bobb","Right","1924","02","25",182.88,0,76.5
"Mainland in Daytona Beach, Florida","Tony Bobbitt","Right","1979","10","22",182.88,121.92,85.5
"Trico Consolidated in Campbell Hill, Illinois","Bucky Bockhorn","Right","1933","07","08",182.88,121.92,90
"Millersburg Military Institute in Millersburg, Kentucky","Tom Boerwinkle","Right","1945","08","23",213.36,0,119.25
"DeMatha Catholic in Hyattsville, Maryland","Keith Bogans","Right","1980","05","12",182.88,152.4,96.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Bogdan Bogdanovic","Right","1992","08","18",182.88,182.88,92.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Bojan Bogdanovic","Right","1989","04","18",182.88,243.84,97.2
"Paul Laurence Dunbar in Baltimore, Maryland","Muggsy Bogues","Right","1965","01","09",152.4,91.44,61.2
"Australian Institute of Sport in Melbourne, Australia","Andrew Bogut","Right","1984","11","28",213.36,0,117
"Maine Central Institute in Pittsville, Maine","Etdrick Bohannon","Right","1973","05","29",182.88,274.32,99
"Case Western Reserve English Language in Cleveland, Ohio","Manute Bol","Right","1962","10","16",213.36,213.36,90
"Brewster Academy in Wolfeboro, New Hampshire","Jonah Bolden","Right","1996","01","02",182.88,304.8,99
"Xavier in New York, New York","Bill Bolger","Right","1931","08","21",182.88,152.4,92.25
"Keller Central in Fort Worth, Texas","Joel Bolomboy","Right","1994","01","28",182.88,274.32,105.75
"Grand Rapids in Grand Rapids, Minnesota","Doug Bolstorff","Right","1931","10","29",182.88,121.92,87.75
"Loyola Academy in Wilmette, Illinois","George Bon Salle","Right","1935","07","01",182.88,243.84,99
"Manual in Louisville, Kentucky","Phil Bond","Right","1954","07","27",182.88,60.96,78.75
"Collins in Chicago, Illinois","Walter Bond","Right","1969","02","01",182.88,152.4,90
"Brandywine in Wilmington, Delaware","Dexter Boney","Right","1970","04","27",182.88,121.92,83.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Isaac Bonga","Right","1999","11","08",182.88,243.84,81
"Muncie Central in Muncie, Indiana","Ron Bonham","Right","1942","05","31",182.88,152.4,86.4
"Vashon in St. Louis, Missouri","Anthony Bonner","Right","1968","06","08",182.88,243.84,96.75
"Concord in Concord, New Hampshire","Matt Bonner","Right","1980","04","05",182.88,304.8,105.75
"Colwyn in Darby, Pennsylvania","Butch Booker","Right","1945","07","20",182.88,304.8,103.5
"Moss Point in Moss Point, Mississippi","Devin Booker","Right","1996","10","30",182.88,182.88,94.5
"Moss Point in Moss Point, Mississippi","Melvin Booker","Right","1972","08","20",182.88,30.48,83.25
"Union County in Union, South Carolina","Trevor Booker","Left","1987","11","25",182.88,243.84,102.6
"West Nottingham Academy in Colora, Maryland","Josh Boone","Right","1984","11","21",182.88,304.8,106.65
"Omaha Technical in Omaha, Nebraska","Ron Boone","Right","1946","09","06",182.88,60.96,90
"Groveport Madison in Reynoldsburg, Ohio","Calvin Booth","Left","1976","05","07",182.88,335.28,103.5
"Paul Laurence Dunbar in Baltimore, Maryland","Keith Booth","Right","1974","10","09",182.88,182.88,101.7
"Omaha Technical in Omaha, Nebraska","Bob Boozer","Right","1937","04","26",182.88,243.84,96.75
"Juneau-Douglas in Juneau, Alaska","Carlos Boozer","Right","1981","11","20",182.88,274.32,116.1
"Eastlake in Redmond, Washington","Curtis Borchardt","Right","1980","09","13",213.36,0,108
"St. Peter the Apostle in New Brunswick, New Jersey","Jake Bornheimer","Right","1927","06","29",182.88,152.4,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Lazaro Borrell","Right","1972","09","20",182.88,243.84,99
"Plymouth in Plymouth, Pennsylvania","Ike Borsavage","Right","1924","07","25",182.88,243.84,99
"Washington in East Chicago, Indiana","Vince Boryla","Right","1927","03","11",182.88,152.4,94.5
"Lincoln in Dallas, Texas","Chris Bosh","Left","1984","03","24",182.88,335.28,105.75
"Gorton in Yonkers, New York","Jim Bostic","Right","1953","01","28",182.88,213.36,101.25
"John F. Kennedy in Cleveland, Ohio","Lawrence Boston","Right","1956","05","18",182.88,243.84,101.25
"Carver in Montgomery, Alabama","Tom Boswell","Right","1953","10","02",182.88,274.32,99
"Damase Boulanger in Alma, Canada","Chris Boucher","Right","1993","01","11",182.88,304.8,90
"Archbishop Carroll in Washington, District of Columbia","Ruben Boumtje-Boumtje","Right","1978","05","20",213.36,0,115.65
"Kalamazoo Central in Kalamazoo, Michigan","Don Boven","Right","1925","03","06",182.88,121.92,94.5
"Rappahannock in Warsaw, Virginia","Cal Bowdler","Right","1977","03","31",182.88,304.8,110.25
"Edison in Fresno, California","Bruce Bowen","Right","1971","06","14",182.88,213.36,83.25
"Fort Madison in Fort Madison, Iowa","Ryan Bowen","Right","1975","11","20",182.88,213.36,96.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Tommie Bowens","Right","1940","07","07",182.88,243.84,99
"East Central in Tulsa, Oklahoma","Anthony Bowie","Right","1963","11","09",182.88,182.88,85.5
"Lebanon in Lebanon, Pennsylvania","Sam Bowie","Right","1961","03","17",213.36,30.48,105.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Orbie Bowling","Right","1939","03","21",182.88,304.8,96.75
"Seton Hall Preparatory School in West Orange, New Jersey","Ira Bowman","Right","1973","06","11",182.88,152.4,87.75
"Kirkpatrick in Fort Worth, Texas","Nate Bowman","Right","1943","03","19",182.88,304.8,103.5
"Proviso East in Maywood, Illinois","Donnie Boyce","Right","1973","09","02",182.88,152.4,88.2
"Roosevelt in New York, New York","Dennis Boyd","Right","1954","05","21",182.88,30.48,78.75
"East Bakersfield in Bakersfield, California","Freddie Boyd","Left","1950","06","13",182.88,60.96,81
"Frederick in Frederick, Maryland","Ken Boyd","Right","1952","03","25",182.88,152.4,87.75
"Central Catholic in Cleveland, Ohio","Earl Boykins","Right","1976","06","02",152.4,152.4,60.75
"Thomas Jefferson in Brooklyn, New York","Harry Boykoff","Right","1922","07","24",182.88,304.8,101.25
"Capitol Hill in Oklahoma City, Oklahoma","Winford Boynes","Right","1957","05","17",182.88,182.88,83.25
"Mater Dei in Santa Ana, California","Cedric Bozeman","Right","1983","03","07",182.88,182.88,93.15
"Midwood in Brooklyn, New York","Steve Bracey","Right","1950","08","01",182.88,30.48,78.75
"Brewster Academy in Wolfeboro, New Hampshire","Craig Brackins","Right","1987","10","09",182.88,304.8,103.5
"Greeneview in Jamestown, Ohio","Gary Bradds","Right","1942","07","26",182.88,243.84,94.5
"Long Branch in Long Branch, New Jersey","Alex Bradley","Right","1959","10","30",182.88,182.88,96.75
"Hinds County Agricultural in Utica, Mississippi","Alonzo Bradley","Right","1953","10","16",182.88,182.88,85.5
"Findlay College Prep in Henderson, Nevada","Avery Bradley","Right","1990","11","26",182.88,60.96,81
"Central in Louisville, Kentucky","Bill Bradley","Right","1941","06","16",152.4,335.28,74.25
"Crystal City in Crystal City, Missouri","Bill Bradley","Right","1943","07","28",182.88,152.4,92.25
"Edgewood in Edgewood, Maryland","Charles Bradley","Right","1959","05","16",182.88,152.4,96.75
"Edgewood in Edgewood, Maryland","Dudley Bradley","Right","1957","03","19",182.88,182.88,87.75
"Roosevelt in East Chicago, Indiana","Jim Bradley","Right","1952","03","16",182.88,243.84,96.75
"Cowden in Cowden, Oklahoma","Joe Bradley","Right","1928","09","24",182.88,91.44,78.75
"Burncoat in Worcester, Massachusetts","Michael Bradley","Right","1979","04","18",182.88,304.8,110.25
"Emery County in Castle Dale, Utah","Shawn Bradley","Right","1972","03","22",213.36,182.88,105.75
"Bartow in Bartow, Florida","Tony Bradley","Right","1998","01","08",182.88,304.8,111.6
"Redcliffe in Redcliffe, Australia","Mark Bradtke","Right","1968","09","27",182.88,304.8,119.25
"Clifford J. Scott in East Orange, New Jersey","Marques Bragg","Right","1970","03","24",182.88,243.84,103.5
"Edison in Fresno, California","Torraye Braggs","Right","1976","05","15",182.88,243.84,110.25
"La Cueva in Albuquerque, New Mexico","A.J. Bramlett","Right","1977","01","10",182.88,304.8,102.15
